omega_1	Veff(v,T)	T
97	1.38857348479875e+18	165.989
97.02500000000001	1.38857348479875e+18	165.989
97.05	1.38857348479875e+18	165.989
97.075	1.38857348479875e+18	165.989
97.09999999999999	1.38857348479875e+18	165.989
97.125	1.388573484798749e+18	165.989
97.15000000000001	1.38857348479875e+18	165.989
97.175	1.38857348479875e+18	165.989
97.2	1.388573484798749e+18	165.989
97.22499999999999	1.38857348479875e+18	165.989
97.25	1.388573484798749e+18	165.989
97.27500000000001	1.38857348479875e+18	165.989
97.3	1.388573484798749e+18	165.989
97.325	1.388573484798749e+18	165.989
97.34999999999999	1.388573484798749e+18	165.989
97.375	1.388573484798749e+18	165.989
97.40000000000001	1.388573484798749e+18	165.989
97.425	1.388573484798749e+18	165.989
97.45	1.388573484798748e+18	165.989
97.47499999999999	1.388573484798749e+18	165.989
97.5	1.388573484798748e+18	165.989
97.52500000000001	1.388573484798748e+18	165.989
97.55	1.388573484798748e+18	165.989
97.575	1.388573484798749e+18	165.989
97.59999999999999	1.388573484798748e+18	165.989
97.625	1.388573484798749e+18	165.989
97.65000000000001	1.388573484798748e+18	165.989
97.675	1.388573484798748e+18	165.989
97.7	1.388573484798749e+18	165.989
97.72499999999999	1.388573484798748e+18	165.989
97.75	1.388573484798748e+18	165.989
97.77500000000001	1.388573484798748e+18	165.989
97.8	1.388573484798748e+18	165.989
97.825	1.388573484798748e+18	165.989
97.84999999999999	1.388573484798748e+18	165.989
97.875	1.388573484798748e+18	165.989
97.90000000000001	1.388573484798747e+18	165.989
97.925	1.388573484798747e+18	165.989
97.95	1.388573484798747e+18	165.989
97.97499999999999	1.388573484798747e+18	165.989
98	1.388573484798747e+18	165.989
98.02500000000001	1.388573484798747e+18	165.989
98.05	1.388573484798746e+18	165.989
98.075	1.388573484798747e+18	165.989
98.09999999999999	1.388573484798748e+18	165.989
98.125	1.388573484798746e+18	165.989
98.15000000000001	1.388573484798747e+18	165.989
98.175	1.388573484798747e+18	165.989
98.2	1.388573484798746e+18	165.989
98.22499999999999	1.388573484798747e+18	165.989
98.25	1.388573484798747e+18	165.989
98.27500000000001	1.388573484798746e+18	165.989
98.3	1.388573484798747e+18	165.989
98.325	1.388573484798747e+18	165.989
98.34999999999999	1.388573484798746e+18	165.989
98.375	1.388573484798747e+18	165.989
98.40000000000001	1.388573484798746e+18	165.989
98.425	1.388573484798746e+18	165.989
98.45	1.388573484798747e+18	165.989
98.47499999999999	1.388573484798747e+18	165.989
98.5	1.388573484798747e+18	165.989
98.52500000000001	1.388573484798747e+18	165.989
98.55	1.388573484798746e+18	165.989
98.575	1.388573484798746e+18	165.989
98.59999999999999	1.388573484798746e+18	165.989
98.625	1.388573484798746e+18	165.989
98.65000000000001	1.388573484798746e+18	165.989
98.675	1.388573484798746e+18	165.989
98.7	1.388573484798746e+18	165.989
98.72499999999999	1.388573484798746e+18	165.989
98.75	1.388573484798746e+18	165.989
98.77500000000001	1.388573484798746e+18	165.989
98.8	1.388573484798746e+18	165.989
98.825	1.388573484798746e+18	165.989
98.84999999999999	1.388573484798747e+18	165.989
98.875	1.388573484798746e+18	165.989
98.90000000000001	1.388573484798746e+18	165.989
98.925	1.388573484798746e+18	165.989
98.95	1.388573484798746e+18	165.989
98.97499999999999	1.388573484798746e+18	165.989
99	1.388573484798746e+18	165.989
99.02500000000001	1.388573484798746e+18	165.989
99.05	1.388573484798746e+18	165.989
99.075	1.388573484798746e+18	165.989
99.09999999999999	1.388573484798746e+18	165.989
99.125	1.388573484798746e+18	165.989
99.15000000000001	1.388573484798746e+18	165.989
99.175	1.388573484798746e+18	165.989
99.2	1.388573484798746e+18	165.989
99.22499999999999	1.388573484798746e+18	165.989
99.25	1.388573484798745e+18	165.989
99.27500000000001	1.388573484798746e+18	165.989
99.3	1.388573484798746e+18	165.989
99.325	1.388573484798746e+18	165.989
99.34999999999999	1.388573484798746e+18	165.989
99.375	1.388573484798746e+18	165.989
99.40000000000001	1.388573484798746e+18	165.989
99.425	1.388573484798746e+18	165.989
99.45	1.388573484798746e+18	165.989
99.47499999999999	1.388573484798746e+18	165.989
99.5	1.388573484798746e+18	165.989
99.52500000000001	1.388573484798746e+18	165.989
99.55	1.388573484798746e+18	165.989
99.575	1.388573484798746e+18	165.989
99.59999999999999	1.388573484798746e+18	165.989
99.625	1.388573484798746e+18	165.989
99.65000000000001	1.388573484798747e+18	165.989
99.675	1.388573484798746e+18	165.989
99.7	1.388573484798746e+18	165.989
99.72499999999999	1.388573484798746e+18	165.989
99.75	1.388573484798746e+18	165.989
99.77500000000001	1.388573484798746e+18	165.989
99.8	1.388573484798747e+18	165.989
99.825	1.388573484798746e+18	165.989
99.84999999999999	1.388573484798746e+18	165.989
99.875	1.388573484798745e+18	165.989
99.90000000000001	1.388573484798746e+18	165.989
99.925	1.388573484798746e+18	165.989
99.95	1.388573484798746e+18	165.989
99.97499999999999	1.388573484798746e+18	165.989
100	1.388573484798747e+18	165.989
100.025	1.388573484798747e+18	165.989
100.05	1.388573484798746e+18	165.989
100.075	1.388573484798746e+18	165.989
100.1	1.388573484798746e+18	165.989
100.125	1.388573484798747e+18	165.989
100.15	1.388573484798747e+18	165.989
